"position";"label"
0.913469388;"onset"
1.396099773;"onset"
1.865306122;"onset"
2.336598639;"onset"
2.817142857;"onset"
2.925714286;"onset"
3.032653061;"onset"
3.153469388;"onset"
3.263673469;"onset"
3.710748299;"onset"
3.814421769;"onset"
3.924716553;"onset"
4.017777778;"onset"
4.130068027;"onset"
4.608798186;"onset"
4.742312925;"onset"
4.828526077;"onset"
4.921723356;"onset"
5.032653061;"onset"
5.511836735;"onset"
5.640816327;"onset"
5.736870748;"onset"
5.837641723;"onset"
5.949931973;"onset"
6.443174603;"onset"
6.687619048;"onset"
6.904761905;"onset"
7.140317460;"onset"
7.385034014;"onset"
7.847619048;"onset"
8.318548753;"onset"
8.571428571;"onset"
8.783673469;"onset"
8.999002268;"onset"
9.238730159;"onset"
9.730612245;"onset"
10.299047619;"onset"
10.431111111;"onset"
10.514920635;"onset"
10.646349206;"onset"
10.736507937;"onset"
11.173333333;"onset"
11.279591837;"onset"
11.389206349;"onset"
11.487528345;"onset"
11.594285714;"onset"
12.035102041;"onset"
12.161904762;"onset"
12.266666667;"onset"
12.360453515;"onset"
12.458412698;"onset"
12.929523810;"onset"
13.051428571;"onset"
13.159863946;"onset"
13.260997732;"onset"
13.365714286;"onset"
13.833015873;"onset"
14.056507937;"onset"
14.295873016;"onset"
14.525079365;"onset"
14.747301587;"onset"
15.226031746;"onset"
15.699682540;"onset"
15.904761905;"onset"
16.135147392;"onset"
16.377777778;"onset"
16.643174603;"onset"
17.134603175;"onset"
0.913469388;"beat"
1.396099773;"beat"
1.865306122;"beat"
2.336598639;"beat"
2.817142857;"beat"
3.263673469;"beat"
3.710748299;"beat"
4.130068027;"beat"
4.608798186;"beat"
5.032653061;"beat"
5.511836735;"beat"
5.949931973;"beat"
6.443174603;"beat"
6.904761905;"beat"
7.385034014;"beat"
7.847619048;"beat"
8.318548753;"beat"
8.783673469;"beat"
9.238730159;"beat"
9.730612245;"beat"
10.299047619;"beat"
10.736507937;"beat"
11.173333333;"beat"
11.594285714;"beat"
12.035102041;"beat"
12.458412698;"beat"
12.929523810;"beat"
13.365714286;"beat"
13.833015873;"beat"
14.295873016;"beat"
14.747301587;"beat"
15.226031746;"beat"
15.699682540;"beat"
16.135147392;"beat"
16.643174603;"beat"
17.134603175;"beat"
0.913469388;"downbeat"
1.865306122;"downbeat"
2.817142857;"downbeat"
3.710748299;"downbeat"
4.608798186;"downbeat"
5.511836735;"downbeat"
6.443174603;"downbeat"
7.385034014;"downbeat"
8.318548753;"downbeat"
9.238730159;"downbeat"
10.299047619;"downbeat"
11.173333333;"downbeat"
12.035102041;"downbeat"
12.929523810;"downbeat"
13.833015873;"downbeat"
14.747301587;"downbeat"
15.699682540;"downbeat"
16.643174603;"downbeat"
2.817142857;"structure"
10.299047619;"structure"